-1.0        -1.0        -1.0          1.0    255 255 255   0   1.0   255 255 255   0   1.0   255 255 255   0  1.0        1.00        0   0   0   0      0   0   0   0     1.0      0    -100.0           1.0         -1.0              1.0               1.0              -1.0           1.0    255 255 255   255 255 255     -1.0        -1.0     -1.0     -1.0           -1.0        -1.0         -1.0        -1.0     -1.0     -1.0      -1.0    -1.0    -1.0    -1.0     0.0     0.0     0.0    -1.0    -1.0   -1.0    -1.0    -1.0   -1.0   -1.0       1.0       0
Classic                            -1.0        -1.0        -1.0          -1.0    255 255 255   0   1.0   255 255 255   0   1.0   255   0   0   0   0.0        1.00        0   0   0   0      0   0   0   0     1.0      0    -100.0           1.0          1.0              1.3               1.0              -1.0           3.9    128 128 128   255 255 255      0.0        -1.0      1.2      0.2           -1.0        -1.0         -1.0        -1.0     -1.0     -1.0       0.0    -1.0    -1.0    -1.0     0.0     0.0     0.0    -1.0    -1.0   -1.0    -1.0    -1.0    0.7   -1.0      -1.0       0
Tweaked                            -1.0        -1.0        -1.0          -1.0    255 255 255   0   0.0   255 255 255   0   1.0   255   0   0   0   0.0        1.00        0   0   0   0      0   0   0   0     1.0      0    -100.0           0.1         -2.0              6.2              30.6               1.4           0.3    157  74 118   124 198 153      1.4        -6.8      4.3      0.9            0.1         4.4         -1.0        -1.0      2.2      7.2       0.0    -1.0    -1.0    -1.0     0.0     0.0     0.0    -1.0    -1.0   -1.0    -1.0    -1.0   -1.0   -1.0       1.0       0
Cinema                             -1.0        -1.0        -1.0          -1.0    255 255 255   0   6.6   255 255 255   0   1.0    69  59   0   0   0.0        1.00        7 179 200  15      0 124 237 142     1.0      0    -92.8           1.0          5.0              1.1               2.0               0.4           1.1    132 138 128    88  68   0      1.1         3.3      1.1      1.0            0.9         0.7         -1.0        -1.0     25.3     82.4       0.0    -1.0    -1.0    -1.0     0.0     0.0     0.0    -1.0    -1.0   -1.0    -1.0    -1.0    1.0   11.5      -1.0       72
Verte                              -1.0        -1.0        -1.0          -1.0    255 255 255   0   6.6   255 255 255   0   1.0   255 106   0   0   0.0        1.00      115 130 100 255      0   0 248   0     1.0      0    -100.0           1.0          1.2              0.5               2.0               0.9          100.0     93  89  56    30 231 229      1.0        16.8      1.0      0.2           -1.0         2.0         -1.0        -1.0     10.6      6.7       0.0    -1.0    -1.0    -1.0     0.0     0.0     0.0    -1.0    -1.0   -1.0    -1.0    -1.0    1.0   10.6      -1.0       0
Hot                                -1.0        -1.0        -1.0          -1.0    255 255 255   0   6.6   255 255 255   0   1.0   255 106   0   0   0.0        1.00      115 130 100 255      0   0 248   0     1.0      0    -100.0           1.0          0.4              0.8               2.0               1.8          100.0    234  58   7    69  32 255      1.0         9.7      2.3      0.2           -1.0        -1.0         -1.0        -1.0     -1.0     -1.0       0.0    -1.0    -1.0    -1.0     0.0     0.0     0.0    -1.0    -1.0   -1.0    -1.0    -1.0    1.0    6.1      -1.0       0
Steel                              -1.0        -1.0        -1.0          -1.0    255 255 255   0   6.6   255 255 255   0   1.0   255 106   0   0   0.0        1.00      121  71  16  61    170 155 240   0     1.0      0    -92.8           1.0          3.5              3.9               2.0               0.4           7.2    128 128 102   208 188 150      0.7         3.1      1.6      1.0            0.9         0.8         -1.0        -1.0     25.3     82.4       0.0    -1.0    -1.0    -1.0     0.0     0.0     0.0    -1.0    -1.0   -1.0    -1.0    -1.0    1.0   11.5      -1.0       149
Psyche                             -1.0      1800.0       259.0          -1.0    255 128 128 128   3.6     0   0   0 132   2.3   255 255 255 255   0.0        1.00      181  34  11 255     66  11 255 149     1.0      0    -100.0           1.0          0.7              0.9               1.0              -1.0          18.0      0   0 255   128 128 128      0.6        -1.0      1.0      1.0           -1.0         2.0         -1.0        -1.0     -1.0      1.1       0.0     0.6     1.5    51.5     0.0     0.0     0.0    -1.0     1.0   -1.0    -1.0     0.7    0.7    6.9      -1.0       213
Romantic                           -1.0        -1.0       321.5         511.5    255 255 255   0   1.0   255 255 255   0   1.0     0   0   0   0   0.0        1.00      255 255 255  58    201 169 110 255     1.0      0    -100.0           1.0          1.0              1.9               0.8              -1.0          23.0    163 105 106   255 255 255      0.6        -1.0      0.4     -1.0           -1.0        -1.0         -1.0        -1.0     27.0     17.3       0.0    -0.9    -1.0    -1.0     0.0     0.0     0.0    -1.0    -1.0   -1.0    -1.0    -1.0    0.8   -1.0      -1.0       68
Sepia                              -1.0        -1.0        -1.0          -1.0    255 255 255   0   1.0   255 255 255   0   1.0   255   0   0   0   0.0        1.00        0   0   0   0      0   0   0   0     1.0      0    -100.0           1.0          1.0              1.3               1.0              -1.0           3.9    100  90  70   255 255 255      0.1        -1.0      1.2      0.2           -1.0        -1.0         -1.0        -1.0     -1.0     -1.0       0.0    -1.0    -1.0    -1.0     0.0     0.0     0.0    -1.0    -1.0   -1.0    -1.0    -1.0    0.7   -1.0      -1.0       0
Muddy                              -1.0        -1.0        -1.0          -1.0    138 118 183 101   0.4    15   2   0 248  67.0   255  14   0   0   0.0        1.00      246   0   0   0      4  30   0   0     1.0      0    -100.0           1.0         24.4              0.9               2.4              -1.0          100.0    181 146 143   255 255 255      1.0        -1.0      2.3      1.0           -1.0        -1.0         -1.0        -1.0     -1.0     -1.0       0.0    -1.0    -1.0    -1.0     0.0     0.0     0.0    -0.5    -0.7   -1.0    -1.0     0.1    1.0   -1.0      -1.0       0
