-1.0        -1.0        -1.0          1.0    255 255 255   0   1.0   255 255 255   0   1.0   255 255 255   0  1.0        1.00        0   0   0   0      0   0   0   0     1.0      0    -100.0           1.0         -1.0              1.0               1.0              -1.0           1.0    255 255 255   255 255 255     -1.0        -1.0     -1.0     -1.0           -1.0        -1.0         -1.0        -1.0     -1.0     -1.0      -1.0    -1.0    -1.0    -1.0     0.0     0.0     0.0    -1.0    -1.0   -1.0    -1.0    -1.0   -1.0   -1.0       1.0       0
lightning                          -1.0        -1.0        -1.0          -1.0    255 255 255   0   4.1   255 255 255   0   0.0   255 255 255 255  26.2        1.00        0   0   0   0      0   0   0   0     1.0      0    -100.0           1.0         -1.0              1.8               0.1              -1.0           2.0    255 255 255   255 255 255     -1.0        -1.0     -1.0     -1.0           -1.0        -1.0         -1.0        -1.0     -1.0     -1.0      -1.0    -1.0    -1.0    -1.0     0.0     0.0     0.0    -1.0    -1.0   -1.0    -1.0    -1.0   -1.0   -1.0       1.0       0
playersettings                       0              0               0              0          0   0   0   0  0      0   0   0   0  0            0   0   0   0  0                 1.00           0  0  0  0     0  0  0  0                                   0          10              0                -1.0         -1.0          -1.0              -1.0                  -1.0              -1.0           0  0  0           0  0  0           1.30            1.0        1.0          1.30               1.0           1.00              0               0           1.0       1.0           0.0            -1.0              -1.0         -1.0            0.0            0.0            0.0           -1.0             -1.0           -1.0               -1.0                -1.0                  -1.0             -1.0          0        0
playersettings2                      0              0               0              0          0   0   0   0  0      0   0   0   0  0            0   0   0   0  0                 1.00           0  0  0  0     0  0  0  0                                   0          10              0                -1.0         -1.0          -1.0              -1.0                  -1.0              -1.0           0  0  0           0  0  0           1.30            1.0        1.0          1.30               1.0           1.00              0               0           1.0       1.0           0.0            -1.0              -1.0         -1.0            0.0            0.0            0.0           -1.0             -1.0           -1.0               -1.0                -1.0                  -1.0             -1.0          0        0
sniper                               0              0               0              0          0   0   0   0  0      0   0   0   0  0            0   0   0   0  0                 1.00           0  0  0  0     0  0  0  0                                   0          10              0                -1.0         -1.0          -1.0              -1.0                  -1.0              -1.0           0  0  0           0  0  0           1.30            1.0        1.0          1.30               1.0           1.00              0               0           1.0       1.0           0.0            -1.0              -1.0         -1.0            0.0            0.0            0.0           -1.0             -1.0           -1.0               -1.0                -1.0                  -1.0             -1.0          0        0
sniper_ini                           0              0               0              0          0   0   0   0  0      0   0   0   0  0            0   0   0   0  0                 1.00           0  0  0  0     0  0  0  0                                   0          10              0                -1.0         -1.0          -1.0              -1.0                  -1.0              -1.0           0  0  0           0  0  0           1.30            1.0        1.0          1.30               1.0           1.00              0               0           1.0       1.0           0.0            -1.0              -1.0         -1.0            0.0            0.0            0.0           -1.0             -1.0           -1.0               -1.0                -1.0                  -1.0             -1.0          0        0
binocular                            0              0               0              0          0   0   0   0  0      0   0   0   0  0            0   0   0   0  0                 1.00           0  0  0  0     0  0  0  0                                   0          10              0                -1.0         -1.0          -1.0              -1.0                  -1.0              -1.0           0  0  0           0  0  0           1.30            1.0        1.0          1.30               1.0           1.00              0               0           1.0       1.0           0.0            -1.0              -1.0         -1.0            0.0            0.0            0.0           -1.0             -1.0           -1.0               -1.0                -1.0                  -1.0             -1.0          0        0
injured                              0              0               0              0          0   0   0   0  0      0   0   0   0  0            0   0   0   0  0                 1.00           0  0  0  0     0  0  0  0                                   0          10              0                -1.0         -1.0          -1.0              -1.0                  -1.0              -1.0           0  0  0           0  0  0           1.30            1.0        1.0          1.30               1.0           1.00              0               0           1.0       1.0           0.0            -1.0              -1.0         -1.0            0.0            0.0            0.0           -1.0             -1.0           -1.0               -1.0                -1.0                  -1.0             -1.0          0        0
fast                                 0              0               0              0          0   0   0   0  0      0   0   0   0  0            0   0   0   0  0                 1.00           0  0  0  0     0  0  0  0                                   0          10              0                -1.0         -1.0          -1.0              -1.0                  -1.0              -1.0           0  0  0           0  0  0           1.30            1.0        1.0          1.30               1.0           1.00              0               0           1.0       1.0           0.0            -1.0              -1.0         -1.0            0.0            0.0            0.0           -1.0             -1.0           -1.0               -1.0                -1.0                  -1.0             -1.0          0        0
death                                0              0               0              0          0   0   0   0  0      0   0   0   0  0            0   0   0   0  0                 1.00           0  0  0  0     0  0  0  0                                   0          10              0                -1.0         -1.0          -1.0              -1.0                  -1.0              -1.0           0  0  0           0  0  0           1.30            1.0        1.0          1.30               1.0           1.00              0               0           1.0       1.0           0.0            -1.0              -1.0         -1.0            0.0            0.0            0.0           -1.0             -1.0           -1.0               -1.0                -1.0                  -1.0             -1.0          0        0
death2                               0              0               0              0          0   0   0   0  0      0   0   0   0  0            0   0   0   0  0                 1.00           0  0  0  0     0  0  0  0                                   0          10              0                -1.0         -1.0          -1.0              -1.0                  -1.0              -1.0           0  0  0           0  0  0           1.30            1.0        1.0          1.30               1.0           1.00              0               0           1.0       1.0           0.0            -1.0              -1.0         -1.0            0.0            0.0            0.0           -1.0             -1.0           -1.0               -1.0                -1.0                  -1.0             -1.0          0        0
death3                               0              0               0              0          0   0   0   0  0      0   0   0   0  0            0   0   0   0  0                 1.00           0  0  0  0     0  0  0  0                                   0          10              0                -1.0         -1.0          -1.0              -1.0                  -1.0              -1.0           0  0  0           0  0  0           1.30            1.0        1.0          1.30               1.0           1.00              0               0           1.0       1.0           0.0            -1.0              -1.0         -1.0            0.0            0.0            0.0           -1.0             -1.0           -1.0               -1.0                -1.0                  -1.0             -1.0          0        0
