///////// EXTRASUNNY
//Midnight
 41 30 22 41 31 22 1 1 1 0 0 0 149 67 0 0 0 0 0 0 0 1 1 2750 8 0 0 0 0 0 0 0 0 0 200 0.24 0 0.92 1 0 0 0 0 0 0 1.1 1 1 1.1 1 1 16 150 1 256 0 0 0 1.1 2 0.11 0 41 0.52 0.4 0.22 0.05 0 1 1 1 0 0 1 1 1 2 4 0 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 90 90 1 1 1 1 1 1 1 0.1 0.1 0.1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0.85 1 1 1 1 1 1 2
//5AM
 55 41 30 41 31 22 1 1 1 0 0 0 149 67 0 0 0 0 0 0 0 1 1 2750 8 0 0 0 0 0 0 0 0 0 200 0.24 0 0.93 1 0 0 0 0 0 0 1.1 1 1 1.1 1 1 16 150 1 256 0 0 0 2.3 2 0.13 0 41 0.52 0.05 0.22 0.39 0 1 1 1 0 0 0 0 0 2 4 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 90 90 0 0 0 0 0 0 1 0.1 0.1 0.1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0.85 1 1 1 1 1 1 2
//6AM
 100 124 166 139 80 20 149 85 21 0 0 0 0 53 213 0 0 0 0 0 0 1 1 2750 8 0 0 0 0 0 0 0 0 0 165 0.24 0 0.855 1 0 0 0 0 0 0 1.19 1 1 1.19 1 1 16 150 1.4 256 0.1 0 2.02 3.75 2 2.1 16 36 0.5 0.42 0.63 0.87 1 1 1 1 1 1 0 0 0 1 0 0 1 1 1 1 1 1 1 1 0 0 0 0 0 10 0 90 90 0 0.8 1 1 1 1 0 1.2 1 0.7 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 1 1 0.6 1 1 1 0.8 2 1 2
//7AM
 119 142 179 255 217 128 255 207 149 0 0 0 63 31 10 0 0 0 0 0 0 1 1 2750 8 0 0 0 0 0 0 0 0 0 163 0.24 0 0.88 1 0 0 0 0 0 0 1.22 1 1 1.22 1 1 16 150 1.4 256 0.1 0 10 5 6 8 100 36 0.5 0.43 0.63 0.86 0.875 0.925 0.45 0.875 0.925 0.45 0 0 0 1 1.7 1.1 1 0 0 0 0 0 0 1.1 0.2 0.6 0.7 8 0.7 0.5 1 90 90 0.12 0.89 1.27 1 1 1 0 1 0.9 0.55 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 1 1 0.6 1 1 1 0.8 2 1 2
//9AM
 140 159 189 255 205 149 255 217 170 0 0 0 10 24 63 0 0 0 0 0 0 1 1 2750 8 0 0 0 0 0 0 0 0 0 161 0.25 0 0.89 1 0 0 0 0 0 0 1.21 1 1 1.21 1 1 16 150 1.4 256 0.1 0 12 7 7 9 100 36 0.5 0.4 0.64 0.89 0.8 0.92 0.75 0.8 0.92 0.75 0 0 0 1 1.9 0.35 1 0 0 0 0 0 0 1.1 0.2 0.6 0.7 8 0.7 0.5 1 90 90 0.12 0.89 1.27 1 1 1 0 0.85 0.75 0.65 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 1 1 0.6 1 1 1 0.8 2 1 2
//Midday
 148 166 192 255 220 181 255 232 204 0 0 0 58 88 175 0 0 0 0 0 0 1 1 2750 8 0 0 0 0 0 0 0 0 0 160 0.25 0 0.9 1 0 0 0 0 0 0 1.2 1 1 1.2 1 1 16 150 1.4 256 0.1 0 12.5 8 8 10 100 36 0.5 0.4 0.63 0.89 0.85 0.9 0.8 0.85 0.9 0.8 0 0 0 1 2 0.15 1 0 0 0 0 0 0 1.1 0.2 0.6 0.7 8 0.7 0.5 1 90 90 0.12 0.89 1.27 1 1 1 0 0.85 0.75 0.65 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 1 1 0.6 1 1 1 0.8 2 1 2
//6PM
